site,Station_Name,YLat,XLong,TP,TP_CAT,SID
16144,Aspetuck River,41.3076,-73.332,0.02,M,Aspetuck River_16144
17342,Ball Pond Brook,41.465,-73.465,3.17E-02,M,Ball Pond Brook_17342
15005,Bantam River,41.7588,-73.1841,0.015,L,Bantam River_15005
18881,Bantam River,41.70467,-73.25018,0.27,H,Bantam River_18881
15001,Beach Brook,41.946,-72.8575,0.009,L,Beach Brook_15001
14129,Beacon Hill Brook,41.4684,-73.0501,0.021,M,Beacon Hill Brook_14129
16385,Beaver Brook,41.932,-72.9754,8.67E-03,L,Beaver Brook_16385
14857,Beaver Meadow Brook,41.4432,-72.5454,0.0158,L,Beaver Meadow Brook_14857
15413,Belcher Brook,41.605,-72.7577,0.025,M,Belcher Brook_15413
14862,Bentley Brook,41.5582,-72.1366,0.0225,M,Bentley Brook_14862
16505,BIBLE ROCK BROOK,41.4975,-72.6064,1.43E-02,L,BIBLE ROCK BROOK_16505
17295,Bigelow Brook,41.9182,-72.1398,0.009,L,Bigelow Brook_17295
14686,Blackberry River,42.0096,-73.2806,3.03E-02,M,Blackberry River_14686
14687,Blackberry River,42.0228,-73.3254,0.062,M,Blackberry River_14687
14850,Bladdens River,41.3872,-73.019,0.0237,M,Bladdens River_14850
16524,BOG HOLLOW BROOK,41.7414,-73.4961,2.97E-02,M,BOG HOLLOW BROOK_16524
15520,Bonemill Brook,41.925,-72.3162,0.03,M,Bonemill Brook_15520
14147,Broad Brook,41.9147,-72.549,0.0828,H,Broad Brook_14147
15536,Broad Brook,41.9174,-72.547,0.075,H,Broad Brook_15536
16139,Brown Brook,41.9267,-73.2799,1.42E-02,L,Brown Brook_16139
14845,Bull Mountain Brook,41.6782,-73.4515,0.0155,L,Bull Mountain Brook_14845
16370,Bunnell Brook,41.7807,-72.963,1.31E-02,L,Bunnell Brook_16370
15315,Burnhams Brook,41.4603,-72.3343,0.01,L,Burnhams Brook_15315
14523,Burton Brook,41.9667,-73.4341,0.009,L,Burton Brook_14523
15010,Cabin Brook,41.5603,-72.3349,2.27E-02,M,Cabin Brook_15010
18882,Cemetery Pond Brook,41.251265,-73.128089,0.118,H,Cemetery Pond Brook_18882
16131,Chatfield Hollow Brook,41.3314,-72.595,0.0168,L,Chatfield Hollow Brook_16131
15571,Cherry Brook,41.8365,-72.9295,0.0105,L,Cherry Brook_15571
17271,Cherry Brook,41.8733,-72.9063,0.0125,L,Cherry Brook_17271
15014,Clark Creek,41.4425,-72.4735,0.022,M,Clark Creek_15014
14153,Coginchaug River,41.5547,-72.6737,0.08215,H,Coginchaug River_14153
16583,COMSTOCK BROOK,41.2125,-73.4622,2.83E-02,M,COMSTOCK BROOK_16583
16588,COOPER POND BROOK,41.2742,-73.4642,0.044,M,COOPER POND BROOK_16588
15858,Cricker Brook,41.1984,-73.2647,0.022,M,Cricker Brook_15858
15011,Crooked Brook,41.5999,-71.9067,2.93E-02,M,Crooked Brook_15011
16599,CROSS BROOK,41.5925,-73.3969,1.97E-02,L,CROSS BROOK_16599
18876,Curtiss Brook,41.3207,-73.09938,2.33E-02,M,Curtiss Brook_18876
16603,DAY MEADOW BROOK,41.5803,-72.4083,0.015,L,DAY MEADOW BROOK_16603
15051,Durkee Brook,41.8829,-71.9286,0.089,H,Durkee Brook_15051
15304,Eagleville Brook,41.7938,-72.2752,1.97E-02,L,Eagleville Brook_15304
16122,Early Brook,41.4978,-72.3435,0.0145,L,Early Brook_16122
14851,East Branch Byram River,41.0983,-73.6817,0.0233,M,East Branch Byram River_14851
14174,East Branch Eightmile River,41.4309,-72.3375,0.014,L,East Branch Eightmile River_14174
14179,East Branch Naugatuck River,41.7977,-73.1158,1.67E-02,L,East Branch Naugatuck River_14179
18883,East Branch Naugatuck River,41.85783,-73.12913,0.018,L,East Branch Naugatuck River_18883
14997,East Branch Salmon Brook,42.0135,-72.8435,2.97E-02,M,East Branch Salmon Brook_14997
14605,Eightmile River,41.5908,-72.9009,0.008,L,Eightmile River_14605
15020,Eightmile River,41.43,-72.3392,0.0205,M,Eightmile River_15020
14888,Ekonk Brook,41.7109,-71.8778,0.0255,M,Ekonk Brook_14888
14520,Factory Brook,41.9751,-73.4212,0.0885,H,Factory Brook_14520
14194,Farm River,41.3331,-72.8153,0.03,M,Farm River_14194
15018,Farm River,41.4063,-72.771,0.032,M,Farm River_15018
15023,Farm River,41.2895,-72.8641,3.37E-02,M,Farm River_15023
16268,Farmill River,41.288,-73.1461,3.43E-02,M,Farmill River_16268
14841,FARMINGTON RIVER,41.8257,-72.9295,0.013225,L,FARMINGTON RIVER_14841
15837,Farmington River,41.8395,-72.9346,0.014,L,Farmington River_15837
16066,Farmington River,41.914,-72.765,0.067,H,Farmington River_16066
16440,Fawn Brook,41.6483,-72.3993,4.57E-02,M,Fawn Brook_16440
14202,Five Mile River,41.1365,-73.4793,0.1395,H,Five Mile River_14202
