RBAS_NO,REGIONAL,MBAS_NO,MAJOR,CumArea,FORLoad,DEVLoad,AGLoad,STP2010,STP2015,STPFuture,CountOfNPDESID,OTSTLoad2010,OTSTLoad2015,OTSTLoadFuture,TLoadKG_S,TLoadKG_S2015,TLoadKG_Sfuture,Yield2010,Yield2015,YieldFuture,PctRed2015,PctRedFuture,C2010,C2015,CFUT
10,Pawcatuck Main Stem,1,Pawcatuck,786.685,1185.394053,2203.466971,3487.99833,0,0,0,0,0,0,0,6876.859354,6876.859354,6876.859354,8.741566642,8.741566642,8.741566642,NA,NA,LM,LM,LM
20,Southeast Shoreline,2,Southeast Coast,110.841989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Southeast Eastern Complex,2,Southeast Coast,161.6250108,262.6932551,799.9265357,967.9301613,0,0,0,0,0,0,0,2030.549952,2030.549952,2030.549952,12.56333993,12.56333993,12.56333993,NA,NA,LM,LM,LM
22,Southeast Western Complex,2,Southeast Coast,150.7293372,356.42573,1154.191153,455.2183727,0,0,0,0,0,0,0,1965.835256,1965.835256,1965.835256,13.04215418,13.04215418,13.04215418,NA,NA,LM,LM,LM
30,Thames Main Stem,3,Thames,3786.301,7279.3954,12530.38671,14358.95552,15004.87779,9165.274958,8943.908912,10,35159.92004,457.7231926,457.7231926,84333.53545,43791.73578,43570.36973,22.273331,11.56583583,11.50737084,48,48,LM,LM,LM
31,Willimantic,3,Thames,580.574,1026.384994,1486.105698,1916.688948,4950.503088,4589.877252,4950.503088,3,0,0,0,9379.682728,9019.056892,9379.682728,16.15587802,15.53472407,16.15587802,4,NA,LM,LM,LM
32,Natchaug,3,Thames,454.999,940.8302918,1078.923319,1026.611564,0,0,0,0,0,0,0,3046.365176,3046.365176,3046.365176,6.695322793,6.695322793,6.695322793,NA,NA,L,L,L
33,French,3,Thames,290.556,560.0947188,1561.666266,468.7691341,0,0,0,0,2871.910362,278.082415,278.082415,5462.440481,2868.612534,2868.612534,18.7999576,9.872838745,9.872838745,47,47,LM,LM,LM
34,Fivemile,3,Thames,195.837,426.4202637,654.9002249,360.2406054,0,0,0,0,0,0,0,1441.561094,1441.561094,1441.561094,7.36102521,7.36102521,7.36102521,NA,NA,L,L,L
35,Moosup,3,Thames,229.092,473.1212668,611.4834886,605.5936399,0,0,0,0,0,0,0,1690.198395,1690.198395,1690.198395,7.377815006,7.377815006,7.377815006,NA,NA,L,L,L
36,Pachaug,3,Thames,163.36,245.3374037,335.4390666,957.8641993,0,0,0,0,0,0,0,1538.64067,1538.64067,1538.64067,9.418711249,9.418711249,9.418711249,NA,NA,LM,LM,LM
37,Quinebaug,3,Thames,1908.156,3731.715267,6686.556682,6619.50595,9752.491083,4273.514087,3691.522205,6,35159.92004,457.7231926,457.7231926,61950.18902,21769.01518,21187.0233,32.46599807,11.40840433,11.10340208,65,66,HM,LM,LM
38,Shetucket,3,Thames,3268.007,6329.311144,10204.42154,11169.13397,5252.386708,4891.760871,5252.386708,4,0,0,0,32955.25336,32594.62752,32955.25336,10.08420525,9.973854866,10.08420525,1,NA,LM,LM,LM
39,Yantic,3,Thames,256.863,428.6638339,741.167729,2306.729733,0,0,0,0,0,0,0,3476.561296,3476.561296,3476.561296,13.53469085,13.53469085,13.53469085,NA,NA,LM,LM,LM
40,Connecticut Main Stem,4,Connecticut,29146.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Stony Brook,4,Connecticut,115.262,140.7922416,648.5254698,2068.604036,0,0,0,0,0,0,0,2857.921747,2857.921747,2857.921747,24.79500397,24.79500397,24.79500397,NA,NA,LM,LM,LM
42,Scantic,4,Connecticut,294.315,486.7993377,1467.578522,3262.178336,0,0,0,0,0,0,0,5216.556196,5216.556196,5216.556196,17.72439799,17.72439799,17.72439799,NA,NA,LM,LM,LM
43,Farmington,4,Connecticut,1571.361,5222.805893,7506.14151,4655.455806,54462.32878,48213.85814,17985.8572,8,0,0,0,71846.73199,65598.26135,35370.26041,45.7226137,41.74614322,22.50931543,9,51,H,H,LM
44,Park,4,Connecticut,199.943,99.18776877,2845.08523,601.5544163,0,0,0,0,0,0,0,3545.827415,3545.827415,3545.827415,17.73419132,17.73419132,17.73419132,NA,NA,LM,LM,LM
45,Hockanum,4,Connecticut,204.525,219.0083563,2461.946449,885.5692712,17723.77174,17723.77174,1724.910586,2,0,0,0,21290.29582,21290.29582,5291.434662,104.0963003,104.0963003,25.87182331,NA,75,H,H,LM
