RBAS_NO,REGIONAL,CAT,Yield,Reduction
10,Pawcatuck Main Stem,Pre-Management,8.741566642,NA
21,Southeast Eastern Complex,Pre-Management,12.56333993,NA
22,Southeast Western Complex,Pre-Management,13.04215418,NA
30,Thames Main Stem,Pre-Management,22.273331,NA
31,Willimantic,Pre-Management,16.15587802,NA
32,Natchaug,Pre-Management,6.695322793,NA
33,French,Pre-Management,18.7999576,NA
34,Fivemile,Pre-Management,7.36102521,NA
35,Moosup,Pre-Management,7.377815006,NA
36,Pachaug,Pre-Management,9.418711249,NA
37,Quinebaug,Pre-Management,32.46599807,NA
38,Shetucket,Pre-Management,10.08420525,NA
39,Yantic,Pre-Management,13.53469085,NA
41,Stony Brook,Pre-Management,24.79500397,NA
42,Scantic,Pre-Management,17.72439799,NA
43,Farmington,Pre-Management,45.7226137,NA
44,Park,Pre-Management,17.73419132,NA
45,Hockanum,Pre-Management,104.0963003,NA
46,Mattabesset,Pre-Management,15.08111265,NA
47,Salmon,Pre-Management,8.713000848,NA
48,Eightmile,Pre-Management,8.72477119,NA
51,South Central Eastern Complex,Pre-Management,13.03573418,NA
52,Quinnipiac,Pre-Management,126.627023,NA
53,South Central Western Complex,Pre-Management,22.34237988,NA
60,Housatonic Main Stem,Pre-Management,33.71040513,NA
61,Blackberry,Pre-Management,15.61499578,NA
62,Hollenbeck,Pre-Management,8.596797564,NA
63,Tenmile,Pre-Management,16.51413822,NA
64,Candlewood,Pre-Management,5.568604701,NA
65,Aspetuck,Pre-Management,10.98876945,NA
66,Still,Pre-Management,59.77209594,NA
67,Shepaug,Pre-Management,12.83584187,NA
68,Pomperaug,Pre-Management,16.43966394,NA
69,Naugatuck,Pre-Management,121.2484318,NA
71,Southwest Eastern,Pre-Management,24.87488943,NA
72,Saugatuck,Pre-Management,11.23848394,NA
73,Norwalk,Pre-Management,21.51228685,NA
74,Southwest Western Complex,Pre-Management,16.71403462,NA
10,Pawcatuck Main Stem,2015,8.741566642,NA
21,Southeast Eastern Complex,2015,12.56333993,NA
22,Southeast Western Complex,2015,13.04215418,NA
30,Thames Main Stem,2015,11.56583583,48
31,Willimantic,2015,15.53472407,4
32,Natchaug,2015,6.695322793,NA
33,French,2015,9.872838745,47
34,Fivemile,2015,7.36102521,NA
35,Moosup,2015,7.377815006,NA
36,Pachaug,2015,9.418711249,NA
37,Quinebaug,2015,11.40840433,65
38,Shetucket,2015,9.973854866,1
39,Yantic,2015,13.53469085,NA
41,Stony Brook,2015,24.79500397,NA
42,Scantic,2015,17.72439799,NA
43,Farmington,2015,41.74614322,9
44,Park,2015,17.73419132,NA
45,Hockanum,2015,104.0963003,NA
46,Mattabesset,2015,15.08111265,NA
47,Salmon,2015,8.713000848,NA
48,Eightmile,2015,8.72477119,NA
51,South Central Eastern Complex,2015,13.03573418,NA
52,Quinnipiac,2015,65.18694046,49
53,South Central Western Complex,2015,22.34237988,NA
60,Housatonic Main Stem,2015,22.59080426,33
61,Blackberry,2015,16.56711376,NA
62,Hollenbeck,2015,8.596797564,NA
63,Tenmile,2015,16.51413822,NA
64,Candlewood,2015,5.568604701,NA
65,Aspetuck,2015,10.98876945,NA
66,Still,2015,35.96101338,40
67,Shepaug,2015,12.83584187,NA
68,Pomperaug,2015,16.43966394,NA
69,Naugatuck,2015,57.1153214,53
71,Southwest Eastern,2015,24.87488943,NA
72,Saugatuck,2015,11.23848394,NA
73,Norwalk,2015,18.20415272,15
74,Southwest Western Complex,2015,16.71403462,NA
10,Pawcatuck Main Stem,Future,8.741566642,NA
21,Southeast Eastern Complex,Future,12.56333993,NA
22,Southeast Western Complex,Future,13.04215418,NA
30,Thames Main Stem,Future,11.50737084,48
31,Willimantic,Future,16.15587802,NA
32,Natchaug,Future,6.695322793,NA
33,French,Future,9.872838745,47
34,Fivemile,Future,7.36102521,NA
35,Moosup,Future,7.377815006,NA
36,Pachaug,Future,9.418711249,NA
37,Quinebaug,Future,11.10340208,66
38,Shetucket,Future,10.08420525,NA
39,Yantic,Future,13.53469085,NA
41,Stony Brook,Future,24.79500397,NA
42,Scantic,Future,17.72439799,NA
43,Farmington,Future,22.50931543,51
44,Park,Future,17.73419132,NA
45,Hockanum,Future,25.87182331,75
46,Mattabesset,Future,15.08111265,NA
47,Salmon,Future,8.713000848,NA
48,Eightmile,Future,8.72477119,NA
51,South Central Eastern Complex,Future,13.03573418,NA
52,Quinnipiac,Future,26.17343163,79
53,South Central Western Complex,Future,22.34237988,NA
60,Housatonic Main Stem,Future,16.63966908,51
61,Blackberry,Future,15.61499578,NA
62,Hollenbeck,Future,8.596797564,NA
63,Tenmile,Future,16.51413822,NA
64,Candlewood,Future,5.568604701,NA
65,Aspetuck,Future,10.98876945,NA
66,Still,Future,21.0585355,65
67,Shepaug,Future,12.08295158,6
68,Pomperaug,Future,16.43966394,NA
69,Naugatuck,Future,26.83118138,78
71,Southwest Eastern,Future,24.87488943,NA
72,Saugatuck,Future,11.23848394,NA
73,Norwalk,Future,17.64963066,18
74,Southwest Western Complex,Future,14.57682081,13
