S_ID,ID,YEAR,Station Name,TP,S,T,R,SID
S14129_2015,14129,2015,Beacon Hill Brook,0.021,0.689542484,0.053921569,0.725274725,Beacon Hill Brook_14129
S14147_2004,14147,2004,Broad Brook,0.078,0.008333333,0.621666667,9.867724868,Broad Brook_14147
S14147_2010,14147,2010,Broad Brook,0.0876,0.003252033,0.466666667,9.930795848,Broad Brook_14147
S14153_2004,14153,2004,Coginchaug River,0.0835,0.03,0.568333333,9.498607242,Coginchaug River_14153
S14153_2010,14153,2010,Coginchaug River,0.0808,0.041528239,0.511627907,9.249249249,Coginchaug River_14153
S14174_2011,14174,2011,East Branch Eightmile River,0.014,0.503322259,0.098006645,1.629834254,East Branch Eightmile River_14174
S14179_2010,14179,2010,East Branch Naugatuck River,0.016666667,0.068739771,0.340425532,8.32,East Branch Naugatuck River_14179
S14194_2004,14194,2004,Farm River,0.03,0.058333333,0.455,8.863636364,Farm River_14194
S14202_2003,14202,2003,Five Mile River,0.211,0.013333333,0.535,9.756838906,Five Mile River_14202
S14202_2011,14202,2011,Five Mile River,0.068,0.329450915,0.202995008,3.8125,Five Mile River_14202
S14206_2011,14206,2011,French River,0.029,0.02247191,0.375,9.434628975,French River_14206
S14226_2011,14226,2011,Harbor Brook,0.0465,0.123577236,0.365853659,7.475083056,Harbor Brook_14226
S14241_2012,14241,2012,Hockanum River,0.377666667,0.02992126,0.37480315,9.260700389,Hockanum River_14241
S14247_2011,14247,2011,Hollenbeck River,0.01,0.414239482,0.098705502,1.924290221,Hollenbeck River_14247
S14263_2014,14263,2014,Kahn Brook,0.127333333,0,0.701996928,10,Kahn Brook_14263
S14278_2010,14278,2010,Little River,0.014,0.157284768,0.046357616,2.276422764,Little River_14278
S14278_2014,14278,2014,Little River,0.0135,0.01236476,0.051004637,8.048780488,Little River_14278
S14288_2004,14288,2004,Mattabesset River,0.067,0.035,0.393333333,9.182879377,Mattabesset River_14288
S14288_2010,14288,2010,Mattabesset River,0.0657,0.050406504,0.292682927,8.530805687,Mattabesset River_14288
S14290_2013,14290,2013,Menunketesuck River,0.009,0.798333333,0,0,Menunketesuck River_14290
S14293_2013,14293,2013,Mianus River,0.037666667,0.05,0.266666667,8.421052632,Mianus River_14293
S14303_2004,14303,2004,Muddy Brook,0.105,0,0.761666667,10,Muddy Brook_14303
S14308_2013,14308,2013,Muddy River,0.0645,0.191666667,0.206666667,5.188284519,Muddy River_14308
S14314_2004,14314,2004,Natchaug River,0.007,0.288333333,0.036666667,1.128205128,Natchaug River_14314
S14316_2002,14316,2002,Naugatuck River,0.2604,0.016260163,0.434146341,9.63898917,Naugatuck River_14316
S14316_2004,14316,2004,Naugatuck River,0.1495,0.008333333,0.635,9.870466321,Naugatuck River_14316
S14317_2004,14317,2004,Naugatuck River,0.931738095,0.018333333,0.603333333,9.705093834,Naugatuck River_14317
S14317_2010,14317,2010,Naugatuck River,1.059,0.013136289,0.41543514,9.69348659,Naugatuck River_14317
S14317_2011,14317,2011,Naugatuck River,0.41575,0.099212598,0.612598425,8.60619469,Naugatuck River_14317
S14317_2012,14317,2012,Naugatuck River,0.441,0.006493506,0.646103896,9.900497512,Naugatuck River_14317
S14317_2014,14317,2014,Naugatuck River,0.308,0.003062787,0.675344564,9.954853273,Naugatuck River_14317
S14317_2015,14317,2015,Naugatuck River,0.328,0.02,0.768333333,9.746300211,Naugatuck River_14317
S14321_2004,14321,2004,Naugatuck River,0.1725,0.03,0.565,9.495798319,Naugatuck River_14321
S14341_2004,14341,2004,Naugatuck River,0.009,0.235,0.195,4.534883721,Naugatuck River_14341
S14361_2004,14361,2004,Norwalk River,0.059,0.033333333,0.486666667,9.358974359,Norwalk River_14361
S14361_2010,14361,2010,Norwalk River,0.112142857,0.355799373,0.225705329,3.881401617,Norwalk River_14361
S14377_2012,14377,2012,Pattaconk Brook,0.017666667,0.266666667,0.084684685,2.41025641,Pattaconk Brook_14377
S14392_2004,14392,2004,Pequabuck River,1.11,0.025,0.766666667,9.684210526,Pequabuck River_14392
S14392_2010,14392,2010,Pequabuck River,0.82075,0,0.375184638,10,Pequabuck River_14392
S14392_2012,14392,2012,Pequabuck River,0.5425,0.03986711,0.579734219,9.356568365,Pequabuck River_14392
S14392_2014,14392,2014,Pequabuck River,0.692,0.009615385,0.556089744,9.830028329,Pequabuck River_14392
S14392_2015,14392,2015,Pequabuck River,0.374,0.016286645,0.74267101,9.785407725,Pequabuck River_14392
S14397_2012,14397,2012,Piper Brook,0.04,0.195488722,0.488721805,7.142857143,Piper Brook_14397
S14404_2015,14404,2015,Pomperaug River,0.03,0.035,0.446666667,9.273356401,Pomperaug River_14404
S14410_2004,14410,2004,Quinebaug River,0.04,0.025,0.416666667,9.433962264,Quinebaug River_14410
S14410_2010,14410,2010,Quinebaug River,0.023714286,0.394736842,0.072368421,1.549295775,Quinebaug River_14410
S14410_2012,14410,2012,Quinebaug River,0.022,0.752491694,0.004983389,0.065789474,Quinebaug River_14410
S14410_2013,14410,2013,Quinebaug River,0.024,0.096666667,0.081666667,4.579439252,Quinebaug River_14410
S14410_2014,14410,2014,Quinebaug River,0.0215,0.086153846,0.066153846,4.343434343,Quinebaug River_14410
S14410_2015,14410,2015,Quinebaug River,0.0195,0.306930693,0.034653465,1.014492754,Quinebaug River_14410
S14413_2004,14413,2004,Quinnipiac River,0.427,0.023333333,0.573333333,9.608938547,Quinnipiac River_14413
S14413_2012,14413,2012,Quinnipiac River,0.2305,0.124330118,0.531618435,8.104575163,Quinnipiac River_14413
S14413_2013,14413,2013,Quinnipiac River,0.1644,0.03,0.39,9.285714286,Quinnipiac River_14413
S14413_2014,14413,2014,Quinnipiac River,0.164,0.009383378,0.655495979,9.858870968,Quinnipiac River_14413
S14413_2015,14413,2015,Quinnipiac River,0.2465,0.046589018,0.474209651,9.10543131,Quinnipiac River_14413
S14414_2010,14414,2010,Quinnipiac River,0.352583333,0.009569378,0.330143541,9.718309859,Quinnipiac River_14414
S14414_2012,14414,2012,Quinnipiac River,0.137,0.001631321,0.526916803,9.969135802,Quinnipiac River_14414
S14414_2013,14414,2013,Quinnipiac River,0.1264,0,0.653333333,10,Quinnipiac River_14414
S14414_2014,14414,2014,Quinnipiac River,0.128,0.012195122,0.591463415,9.797979798,Quinnipiac River_14414
S14414_2015,14414,2015,Quinnipiac River,0.1805,0.02800659,0.510708402,9.480122324,Quinnipiac River_14414
S14436_2012,14436,2012,Salmon Brook,0.01775,0.009852217,0.167487685,9.444444444,Salmon Brook_14436
S14441_2004,14441,2004,Salmon River,0.0225,0.255,0.101666667,2.85046729,Salmon River_14441
S14441_2010,14441,2010,Salmon River,0.0112,0.175697865,0.064039409,2.671232877,Salmon River_14441
S14441_2011,14441,2011,Salmon River,0.012666667,0.191358025,0.041666667,1.78807947,Salmon River_14441
S14441_2012,14441,2012,Salmon River,0.0155,0.180194805,0.095779221,3.470588235,Salmon River_14441
S14441_2013,14441,2013,Salmon River,0.00875,0.098333333,0.036666667,2.716049383,Salmon River_14441
S14441_2014,14441,2014,Salmon River,0.0165,0.017569546,0.035139092,6.666666667,Salmon River_14441
S14441_2015,14441,2015,Salmon River,0.013,0.283387622,0.034201954,1.076923077,Salmon River_14441
S14442_2004,14442,2004,Sandy Brook,0.0115,0.403333333,0.11,2.142857143,Sandy Brook_14442
S14442_2010,14442,2010,Sandy Brook,0.008166667,0.276699029,0.01618123,0.552486188,Sandy Brook_14442
S14442_2011,14442,2011,Sandy Brook,0.0125,0.562599049,0.025356577,0.431266846,Sandy Brook_14442
S14442_2012,14442,2012,Sandy Brook,0.012,0.591503268,0.004901961,0.082191781,Sandy Brook_14442
S14442_2014,14442,2014,Sandy Brook,0.0095,0.162200282,0.084626234,3.428571429,Sandy Brook_14442
S14442_2015,14442,2015,Sandy Brook,0.0135,0.393333333,0.245,3.838120104,Sandy Brook_14442
S14444_2004,14444,2004,Saugatuck River,0.024,0.093333333,0.371666667,7.992831541,Saugatuck River_14444
S14444_2010,14444,2010,Saugatuck River,0.022166667,0.286885246,0.201639344,4.127516779,Saugatuck River_14444
S14444_2011,14444,2011,Saugatuck River,0.01925,0.596375618,0.29324547,3.296296296,Saugatuck River_14444
S14444_2013,14444,2013,Saugatuck River,0.0145,0.043333333,0.121666667,7.373737374,Saugatuck River_14444
S14444_2014,14444,2014,Saugatuck River,0.018,0.001655629,0.349337748,9.952830189,Saugatuck River_14444
S14444_2015,14444,2015,Saugatuck River,0.023,0.110743802,0.160330579,5.914634146,Saugatuck River_14444
S14450_2004,14450,2004,Shepaug River,0.054,0.15,0.461666667,7.547683924,Shepaug River_14450
S14450_2010,14450,2010,Shepaug River,0.0275,0.064250412,0.123558484,6.578947368,Shepaug River_14450
S14450_2011,14450,2011,Shepaug River,0.018,0.472817133,0.02800659,0.559210526,Shepaug River_14450
S14450_2012,14450,2012,Shepaug River,0.0255,0,0.057692308,10,Shepaug River_14450
S14450_2014,14450,2014,Shepaug River,0.026333333,0,0.066115702,10,Shepaug River_14450
S14450_2015,14450,2015,Shepaug River,0.027,0.081666667,0.068333333,4.555555556,Shepaug River_14450
S14451_2011,14451,2011,Shetucket River,0.045,0.144462279,0.499197432,7.755610973,Shetucket River_14451
S14458_2010,14458,2010,Still River,0.154,0.059900166,0.234608985,7.966101695,Still River_14458
S14458_2014,14458,2014,Still River,0.14,0.004862237,0.761750405,9.936575053,Still River_14458
S14458_2015,14458,2015,Still River,0.083,0.027732463,0.652528548,9.592326139,Still River_14458
S14461_2004,14461,2004,Sandy Brook (Still River),0.068,0.081666667,0.561666667,8.730569948,Sandy Brook (Still River)_14461
S14462_2004,14462,2004,Still River,0.025,0.273333333,0.421666667,6.067146283,Still River_14462
S14465_2004,14465,2004,Stony Brook,0.111,0.043333333,0.603333333,9.329896907,Stony Brook_14465
S14470_2012,14470,2012,Tankerhoosen River,0.007,0.056122449,0.584183673,9.123505976,Tankerhoosen River_14470
S14473_2013,14473,2013,Ten Mile River,0.021,0.023333333,0.053333333,6.956521739,Ten Mile River_14473
S14482_2010,14482,2010,West Branch Naugatuck River,0.013,0.078864353,0.100946372,5.614035088,West Branch Naugatuck River_14482
S14484_2010,14484,2010,West Branch Salmon Brook,0.009142857,0.210963455,0.043189369,1.699346405,West Branch Salmon Brook_14484
S14520_2011,14520,2011,Factory Brook,0.0885,0.431372549,0.161764706,2.727272727,Factory Brook_14520
S14523_2015,14523,2015,Burton Brook,0.009,0.220930233,0.157807309,4.166666667,Burton Brook_14523
S14547_2003,14547,2003,Mattabesset River,0.030666667,0.032679739,0.661764706,9.529411765,Mattabesset River_14547
S14553_2013,14553,2013,Norwalk River,0.083,0.068333333,0.735,9.149377593,Norwalk River_14553
S14581_2010,14581,2010,Willimantic River,0.081,0.224025974,0.314935065,5.843373494,Willimantic River_14581
S14581_2014,14581,2014,Willimantic River,0.08175,0.147744946,0.441679627,7.493403694,Willimantic River_14581
S14594_2010,14594,2010,Moosup River,0.0225,0.291666667,0.153846154,3.45323741,Moosup River_14594
S14598_2004,14598,2004,Quinebaug River,0.047,0.021138211,0.250406504,9.221556886,Quinebaug River_14598
S14605_2004,14605,2004,Eightmile River,0.008,0.025,0.216666667,8.965517241,Eightmile River_14605
S14609_2004,14609,2004,Quinebaug River,0.041,0.06,0.461666667,8.849840256,Quinebaug River_14609
S14667_2010,14667,2010,Sasco Brook,0.037571429,0.298333333,0.14,3.19391635,Sasco Brook_14667
S14669_2004,14669,2004,French River,0.0515,0.041666667,0.563333333,9.311294766,French River_14669
S14669_2012,14669,2012,French River,0.034,0.296671491,0.060781476,1.700404858,French River_14669
S14669_2013,14669,2013,French River,0.031,0.138333333,0.136666667,4.96969697,French River_14669
S14669_2014,14669,2014,French River,0.029,0.097039474,0.226973684,7.005076142,French River_14669
S14669_2015,14669,2015,French River,0.026,0.347540984,0.32295082,4.816625917,French River_14669
S14686_2003,14686,2003,Blackberry River,0.030333333,0.192371476,0.253731343,5.687732342,Blackberry River_14686
S14687_2004,14687,2004,Blackberry River,0.062,0.066777963,0.47245409,8.761609907,Blackberry River_14687
S14706_2013,14706,2013,Whitford Brook,0.037333333,0.123333333,0.3,7.086614173,Whitford Brook_14706
S14720_2011,14720,2011,Green Fall River,0.01,0.525396825,0.001587302,0.030120482,Green Fall River_14720
S14720_2013,14720,2013,Green Fall River,0.011,0.588333333,0.118333333,1.674528302,Green Fall River_14720
S14721_2003,14721,2003,Shunock River,0.038333333,0.035,0.428333333,9.244604317,Shunock River_14721
S14721_2013,14721,2013,Shunock River,0.021666667,0.103333333,0.146666667,5.866666667,Shunock River_14721
S14732_2014,14732,2014,Poquetanuck Brook (Hewitt Brook),0.056333333,0.031565657,0.266414141,8.940677966,Poquetanuck Brook (Hewitt Brook)_14732
S14733_2014,14733,2014,Oxoboxo Brook,0.015,0.044515103,0.012718601,2.222222222,Oxoboxo Brook_14733
S14735_2010,14735,2010,Yantic River,0.032571429,0.068219634,0.044925125,3.970588235,Yantic River_14735
S14740_2015,14740,2015,Quaker Brook,0.021,0.272577997,0.162561576,3.735849057,Quaker Brook_14740
S14825_2015,14825,2015,Naugatuck River,0.039,0.281666667,0.33,5.395095368,Naugatuck River_14825
S14839_2002,14839,2002,Muddy Brook,0.0868,0.049833887,0.411960133,8.920863309,Muddy Brook_14839
S14840_2002,14840,2002,Mountain Brook,0.01,0.509868421,0.013157895,0.251572327,Mountain Brook_14840
S14841_2002,14841,2002,FARMINGTON RIVER,0.0117,0.283171521,0.165048544,3.682310469,FARMINGTON RIVER_14841
S14841_2010,14841,2010,FARMINGTON RIVER,0.01475,0.356944444,0.309722222,4.645833333,FARMINGTON RIVER_14841
S14842_2002,14842,2002,Indian Meadow Brook,0.0106,0.04620462,0.075907591,6.216216216,Indian Meadow Brook_14842
S14843_2002,14843,2002,Sandy Brook,0.00879,0.089285714,0.003246753,0.350877193,Sandy Brook_14843
S14844_2002,14844,2002,Lake Waramaug Brook,0.0106,0.436392915,0.132045089,2.322946176,Lake Waramaug Brook_14844
S14845_2002,14845,2002,Bull Mountain Brook,0.0155,0.121311475,0.57704918,8.262910798,Bull Mountain Brook_14845
S14846_2002,14846,2002,Sawmill Brook,0.0107,0.029605263,0.225328947,8.838709677,Sawmill Brook_14846
S14848_2002,14848,2002,Naugatuck River,0.0938,0.040983607,0.347540984,8.945147679,Naugatuck River_14848
S14848_2003,14848,2003,Naugatuck River,0.04375,0.011666667,0.376666667,9.699570815,Naugatuck River_14848
S14849_2002,14849,2002,Limekiln Brook,0.0287,0.055737705,0.447540984,8.892508143,Limekiln Brook_14849
S14850_2002,14850,2002,Bladdens River,0.0237,0.124183007,0.039215686,2.4,Bladdens River_14850
S14851_2002,14851,2002,East Branch Byram River,0.0233,0.062913907,0.091059603,5.913978495,East Branch Byram River_14851
